검은색 바지 31사이즈 주문해줘	1
검은색 바지 32사이즈 주문해줘	1
반가워요	0
하이	0
노란색 티셔츠 L사이즈 주문해줘	1
저기요	0
잘 지냈니?	0
잠시 시간 괜찮아?	0
오랜만이야	0
문신 미술관에서 기획전이나 공모전을 통하여 발굴한 신인들의 작품이 전시되는 갤러리는?	2
민유라가 피겨스케이팅 싱글 선수에서 아이스댄싱 선수로 전향한 시기는?	2
안녕하세요	0
노란색 티셔츠 L사이즈 주문해줘	1
브라운 점퍼 작은사이즈 주문해줘	1
원더걸스는 몇 인조 그룹일까?	2
반가워	0
파란색 와이셔츠 S사이즈 주문해줘	1
반갑습니다.	0
일반 상대론의 개론에서 지구를 향해 떨어지는 물체들이 지구의 무엇을 향해 낙하하는 가?	2
박근혜가 한나라당 비상대책위원장을 역임한 해는?	2
아세트알데히드의 촉매는?	2
노란색 티셔츠 M사이즈 주문해줘	1
물어볼께 있는데...	0
조지아의 문법상 성별이 없는 용어인 메페는 뭐라고 번역될까?	2
노란색 티셔츠 L사이즈 주문해줘	1
홍콩의 초대 행정장관의 이름은?	2
교황 리베리오가 유배를 간 지역은?	2
안녕하세요	0
잘 지냈니?	0
검은색 바지 32사이즈 주문해줘	1
역대 올림픽 중에 최저점을 기록한 두 올림픽 대회가 열린 시기는?	2
오랜만이야	0
오랜만이야	0
이태곤이 자신의 무명 시절 일화를 얘기하며 최진실에 대한 고마움을 얘기했던 MBC의 프로그램 이름은?	2
간미연의 합류 이후  스키복을 입고 등장하는 등 베이비복스가 기존의 이미지와는 달리 시도했던 스타일은?	2
뭐하세요?	0
파란색 와이셔츠 S사이즈 주문해줘	1
오랜만이야	0
맥아더는 인천 상륙 작전을 몇 월 며칠에 시작했는가?	2
검은색 바지 31사이즈 주문해줘	1
하이루	0
옹정제는 예수회 선교사들을 어디로 추방하였는가?	2
건륭제 사후 가장 많이 회자된 전설은?	2
안창호는 어떤 사상을 양성시켰다는 비판을 받는가?	2
검은색 바지 32사이즈 주문해줘	1
포이어바흐의 주장에 의하면 인간을 외면화한 것에 해당하는 것은 무엇인가?	2
검은색 바지 30사이즈 주문해줘	1
검은색 바지 31사이즈 주문해줘	1
헬로~	0
소련 해체에 앞서 조지아가 독립을 선언한 것은 언제인가?	2
광주 자유 민주화 운동 당시 전라남도 부지사는 누구였나요?	2
오현경 전 남편의 이름은?	2
잠시 시간 괜찮아?	0
검은색 바지 32사이즈 주문해줘	1
검은색 바지 31사이즈 주문해줘	1
팔꿈치 인대 부분 파열 부상을 당한 닉 아덴하트의 토미 존 수술을 집도한 의사는? 	2
기자단이 상주하는 공간을 무엇이라 하는가?	2
검은색 바지 30사이즈 주문해줘	1
파란색 와이셔츠 S사이즈 주문해줘	1
안녕하세요	0
노란색 티셔츠 S사이즈 주문해줘	1
오랜만이야	0
파란색 와이셔츠 S사이즈 주문해줘	1
노란색 티셔츠 S사이즈 주문해줘	1
노란색 티셔츠 S사이즈 주문해줘	1
잘 지냈니?	0
정일권이 학비를 벌기 위해 한 행동은?	2
미국생명윤리학회지 AJOB 편집장은 누구인가?	2
동방 교회와 서방 교회의 분열의 직접적 원인은?	2
검은색 바지 32사이즈 주문해줘	1
검은색 바지 32사이즈 주문해줘	1
지연성 근통증은 무엇을 할 경우 더 현저하게 나타나는 것으로 보고되었는가?	2
프로 첫 시즌은 몇 년인가?	2
뭐하세요?	0
시티즈 스카이라인은 무엇을 요구하는 곳에서 사용되는가?	2
민정 헌법에서의 제정 주체는 누구인가?	2
뭐하세요?	0
반가워	0
파란색 와이셔츠 L사이즈 주문해줘	1
잘 지냈니?	0
만슈타인은 유럽사회에서 유대인을 말살하는것이 무엇의 확산을 막기 위해 필요한 일이라고 생각하였는가?	2
Single Ladies는 영국 싱글 차트에서 최고 몇 위 까지 올라갔는가?	2
국무회의의 의장으로서 국무회의 주재권을 가지고 있는 이는?	2
안녕?	0
안녕하세요	0
잠시 시간 괜찮아?	0
잘 지냈니?	0
신 일베저장소가 만들어진 해는?	2
파란색 와이셔츠 M사이즈 주문해줘	1
노란색 티셔츠 S사이즈 주문해줘	1
전씨의 출신 학과는?	2
검은색 바지 32사이즈 주문해줘	1
헬로~	0
다수의 사람들이 익명성을 가지고 활동하는 위키백과의 방식이 다른 분야에 적용되는 것을 부르는 명칭은?	2
오랜만이야	0
강훈은 신세계 그룹 공채로 몇년도에 입사했는가?	2
오랜만이야	0
반가워	0
잘 지냈니?	0
항공 관제에서 처음 지시했던 착륙 활주로는?	2
안녕?	0
서쪽의 중앙 출구 개찰구는 몇개 있는가?	2
밀집성의 종류는 항성 외피층이 날아가버린 뒤 남은 무엇에 의해 결정되는가?	2
오랜만	0
헬로~	0
잘 지냈니?	0
국민참여당이 민주노동당과 합당할 당시 국민참여당 대표는?	2
빨간색 치마 55사이즈 주문해줘	1
시먼스의 아버지 직업은?	2
저기요	0
빨간색 치마 66사이즈 주문해줘	1
안녕?	0
노란색 티셔츠 M사이즈 주문해줘	1
스마트 트랙의 중간 보고서가 나올 것이라고 전망하는 날짜는?	2
브라운 점퍼 작은사이즈 주문해줘	1
파란색 와이셔츠 L사이즈 주문해줘	1
만슈타인의 전쟁회고록은 한국에서 몇년에 출판 되었는가? 	2
저기요	0
오랜만이야	0
민주적 좌파의 거두이며 오스트리아에 갔다가 총살 당한 인물은?	2
노란색 티셔츠 S사이즈 주문해줘	1
조선민이 자신의 마지막 이정표라고 한 것은?	2
하이	0
하이루	0
헬로~	0
반가워	0
파란색 와이셔츠 L사이즈 주문해줘	1
검은색 바지 30사이즈 주문해줘	1
브라운 잠바 중간사이즈 주문해줘	1
하이루	0
잠시 시간 괜찮아?	0
오랜만이야	0
브라운 점퍼 작은사이즈 주문해줘	1
우리은하 중심 근처의 항성들의 고유운동은 그 항성들이 무엇을 공전하고 있을 것이라는 증거를 제공하는가?	2
제임스 로버트 양이 폭스바겐 배기가스 조작 사건으로 물어야 할 벌금의 최고 액수는?	2
노란색 티셔츠 M사이즈 주문해줘	1
안녕?	0
야스히라는 요리토모에게 본인을 용서하고 자비를 베풀어 무엇으로 받아달라고 청하였나?	2
빨간색 치마 44사이즈 주문해줘	1
잘 지냈니?	0
오랜만	0
하이	0
한 국가의 문화재는 그 문화재를 창조한 국가에 귀속한다는 개념을 말하는 것은?	2
부아로짜의 전체 위원회는 추방을 협력하는 대신 무엇을 택했는가?	2
노란색 티셔츠 L사이즈 주문해줘	1
파란색 와이셔츠 M사이즈 주문해줘	1
노란색 티셔츠 S사이즈 주문해줘	1
노란색 티셔츠 L사이즈 주문해줘	1
하이루	0
브라운 잠바 중간사이즈 주문해줘	1
저기요	0
노란색 티셔츠 L사이즈 주문해줘	1
오스트레일리아 까치의 울음소리를 묘사한 waddle giggle Gargle의 저자는 누구인가?	2
이해찬이 학생운동을 참여하게된 때는?	2
위안스카이가 중국 황제가 되는데 실패한 연도는 언제인가?	2
검은색 바지 31사이즈 주문해줘	1
노란색 티셔츠 S사이즈 주문해줘	1
초대 UEFA 유럽 축구 선수권 대회에서 클럽의 예선 첫 상대는?	2
앤드류 가필드는 소셜 네트워크에서 어떤 역을 맡았나?	2
반가워요	0
검은색 바지 31사이즈 주문해줘	1
정권교체를 할 수 있는 정치세력을 만들겠다며 무엇을 선언하였나?	2
잠시 시간 괜찮아?	0
세월호 사고 당시 현장 지휘관은 누구였는가?	2
파란색 와이셔츠 M사이즈 주문해줘	1
이영학이 트위터에서 사용한 닉네임은 무엇인가?	2
뭐하세요?	0
안녕?	0
오디션에서 이반나 린치가 합격한 역할은?	2
빨간색 치마 66사이즈 주문해줘	1
오랜만	0
검은색 바지 30사이즈 주문해줘	1
물어볼께 있는데...	0
통의부의 군사부장에 임명된 해는 언제인가?	2
한국 교육방송공사법에 따른 공영방송은?	2
독일 군의 도시 내로 공세로 어디를 폭파시켜 영국군의 진경이 둔화되었나요?	2
머턴이 미국 사회학회 회장에 취임한 해는? 	2
노란색 티셔츠 S사이즈 주문해줘	1
노란색 티셔츠 S사이즈 주문해줘	1
노란색 티셔츠 S사이즈 주문해줘	1
시험 방송을 통해 시청자의 반응을 반영하여 정규방송으로 편성되기도 하는 것은 무엇인가요?	2
반가워	0
빨간색 치마 66사이즈 주문해줘	1
검은색 바지 31사이즈 주문해줘	1
